article_id,article_url,id_code,author,depth,age_hours,links,link_count,state,page_truncates
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp62,crdtcto,0,520.05,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp74,edmundsparrow,1,519.76,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp7k,,2,519.58,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp88,francistrdev,3,519.45,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp8a,crdtcto,4,519.43,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dphp,francistrdev,1,513.01,multiple,6,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp67,georgekobaidze,0,520.03,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp6d,francistrdev,1,519.98,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp6k,georgekobaidze,2,519.89,internal,1,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp72,georgekobaidze,2,519.79,internal,1,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpia,francistrdev,3,512.82,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e2io,sushyam_nagallapati,1,471.77,internal,1,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e4hp,tracygjg,1,443.73,internal,1,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp6j,joelezema,0,519.91,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpi8,francistrdev,1,512.88,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e5jh,joelezema,2,425.24,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp7d,ale3oula,0,519.64,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp81,francistrdev,1,519.5,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp8f,ale3oula,2,519.37,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpao,francistrdev,3,518.13,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpfj,ale3oula,4,514.42,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp8j,nyaomaru,0,519.34,multiple,2,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dphf,francistrdev,1,513.16,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e06g,nyaomaru,2,504.6,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp94,xulingfeng,0,519.2,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpi1,francistrdev,1,512.96,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpk9,xulingfeng,2,510.99,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e1al,francistrdev,3,491.05,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dp9n,ingosteinke,0,518.89,external,1,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpfd,francistrdev,1,514.57,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e08g,ingosteinke,2,503.32,multiple,2,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e2ip,sushyam_nagallapati,1,471.74,internal,1,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpb2,best_codes,0,517.88,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpi5,francistrdev,1,512.9,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpig,best_codes,2,512.68,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e176,francistrdev,3,492.75,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpbe,pascal_cescato_692b7a8a20,0,517.53,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpff,francistrdev,1,514.54,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpbm,unitbuilds,0,517.37,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpcl,anchildress1,0,516.72,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpgc,francistrdev,1,514.05,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dph4,anchildress1,2,513.39,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpd5,daniel_possiblekwabi_b57,0,516.51,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dphi,francistrdev,1,513.13,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpo2,daniel_possiblekwabi_b57,2,508.73,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpd6,tylerlwsmith,0,516.51,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dphn,francistrdev,1,513.06,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpe0,technogamerz,0,515.83,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpi9,francistrdev,1,512.87,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpg2,debashish_ghosal,0,514.22,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dphg,jarvisscript,0,513.14,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e1ap,francistrdev,1,490.99,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e2m4,jarvisscript,2,470.29,none,0,RENDERED,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dphj,memos_mem_4c56c53b3adbe20,0,513.1,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpi3,francistrdev,1,512.91,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpj9,earlgreyhot1701d,0,511.97,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e1b8,francistrdev,1,490.78,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e1kd,earlgreyhot1701d,2,484.1,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpli,rondo,0,509.99,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3dpo7,nxc8335,0,508.64,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e1bb,francistrdev,1,490.73,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e06o,lovestaco,0,504.4,none,0,MISSING,True
4538206,https://dev.to/francistrdev/how-long-does-it-take-for-you-to-write-a-devto-article-49m1,3e075,firethering,0,504.23,none,0,MISSING,True
